file_id,organism,locus_tag,ess,conf,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.22322103,0.036032084,0.129626557
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2418461,0.21421465,0.228030375
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.06687343,0.0247719,0.045822665
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.20605674,0.44177678,0.32391675999999997
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.490829,0.10416359,0.297496295
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.17277795,0.03887496,0.10582645500000001
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0006859067,0.00011477008,0.00040033839000000004
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.026956832,0.107053734,0.067005283
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.41058716,0.65833926,0.53446321
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.005827146,0.0057872245,0.00580718525
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.12355908,0.04354033,0.083549705
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0005914214,0.044640977,0.0226161992
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.95380485,0.9160819,0.934943375
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7261306,0.77859086,0.7523607299999999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.009814955,0.00061897386,0.00521696443
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.06245051,0.002666854,0.032558682
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.12004082,0.04147391,0.080757365
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.023880282,0.000261031,0.012070656499999999
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,7.103912e-05,0.00017615795,0.000123598535
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.0655522,8.858107e-06,0.032780529053500006
