file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0032230187
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.047990073
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.076294765
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.48991758
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.5777849
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.102446
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.0006044227
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.015355446
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.03863671
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.0005380451
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.03381733
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.00024132871
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.8781023
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.5031125
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.014296252
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.001590237
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.00871423
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,1.19299475e-05
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,5.7879265e-07
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,6.712174e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.7041878
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.38850218
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.9576905
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.987672
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.984209
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.007946985
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9769449
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.0021614784
