file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.12210771
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.79880655
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.0031337496
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.34179112
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.8208516
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.080121726
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,2.922763e-05
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.028613485
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.17516927
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.006691165
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.0048063644
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.0001886409
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.91745675
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.7076636
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.0034414171
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,6.91335e-05
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.014360527
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.00033685562
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,7.76965e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009426435
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.88379294
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.4231623
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.96314216
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9865528
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.97344446
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.22071552
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.986814
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.073165484
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.9989806
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.029325515
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.45988694
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.0020231274
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,1.3259254e-05
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.014530902
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.00251962
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0002791018
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.07974931
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.001647543
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.14417136
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.055147853
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.005896435
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.014977545
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,6.401847e-06
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0027255113
C018,Escherichia coli K-12 BW25113,BW25113_0047,0,0.014176724
C018,Escherichia coli K-12 BW25113,BW25113_0048,1,0.8509154
C018,Escherichia coli K-12 BW25113,BW25113_0049,0,0.044951536
C018,Escherichia coli K-12 BW25113,BW25113_0050,0,0.0037597513
C018,Escherichia coli K-12 BW25113,BW25113_0051,0,0.387541
C018,Escherichia coli K-12 BW25113,BW25113_0052,0,0.8809378
C018,Escherichia coli K-12 BW25113,BW25113_0053,0,0.98568374
C018,Escherichia coli K-12 BW25113,BW25113_0054,1,0.9918755
C018,Escherichia coli K-12 BW25113,BW25113_0055,0,0.019669052
C018,Escherichia coli K-12 BW25113,BW25113_0058,0,0.024997242
C018,Escherichia coli K-12 BW25113,BW25113_0059,0,0.00019761246
C018,Escherichia coli K-12 BW25113,BW25113_0060,0,0.001798447
C018,Escherichia coli K-12 BW25113,BW25113_0061,0,0.43082964
C018,Escherichia coli K-12 BW25113,BW25113_0064,0,0.00020302375
C018,Escherichia coli K-12 BW25113,BW25113_0065,0,0.00062239484
C018,Escherichia coli K-12 BW25113,BW25113_0066,0,0.0005387928
C018,Escherichia coli K-12 BW25113,BW25113_0067,0,0.036273293
C018,Escherichia coli K-12 BW25113,BW25113_0068,0,0.041047156
C018,Escherichia coli K-12 BW25113,BW25113_0069,0,0.102571264
C018,Escherichia coli K-12 BW25113,BW25113_0070,0,0.03407931
C018,Escherichia coli K-12 BW25113,BW25113_0071,0,0.16068311
C018,Escherichia coli K-12 BW25113,BW25113_0072,0,0.06076264
C018,Escherichia coli K-12 BW25113,BW25113_0073,0,0.011089545
C018,Escherichia coli K-12 BW25113,BW25113_0074,0,0.04682125
C018,Escherichia coli K-12 BW25113,BW25113_0075,0,0.8416894
C018,Escherichia coli K-12 BW25113,BW25113_0076,0,7.362658e-05
C018,Escherichia coli K-12 BW25113,BW25113_0077,0,0.0027461918
C018,Escherichia coli K-12 BW25113,BW25113_0078,0,0.01531532
C018,Escherichia coli K-12 BW25113,BW25113_0080,0,0.0002865788
