file_id,organism,locus_tag,ess,conf
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.01155828
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.2087231
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.021895386
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.561148
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.011009817
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.07481756
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.010596758
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.09592186
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.09014953
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.3196888
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.01400526
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.011140262
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7778852
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.32420978
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.023566278
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.1848892
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.005507226
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.004069784
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,3.7365728e-05
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,3.182816e-05
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.76858294
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.6821502
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.98507196
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.9540627
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9382017
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.09557202
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9344085
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.006503003
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.86518896
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.76728696
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.5439882
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.011717474
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.0032035934
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.0029014952
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,8.1659965e-07
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.017504767
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.13426478
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0063077915
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.057877876
C018,Escherichia coli K-12 BW25113,BW25113_0042,0,0.1427716
C018,Escherichia coli K-12 BW25113,BW25113_0043,0,0.031909984
C018,Escherichia coli K-12 BW25113,BW25113_0044,0,0.08125678
C018,Escherichia coli K-12 BW25113,BW25113_0045,0,0.0016291017
C018,Escherichia coli K-12 BW25113,BW25113_0046,0,0.0013603818
