file_id,organism,locus_tag,ess,conf,conf_aamean,conf_bos,conf_eos,conf_first,conf_mean
C018,Escherichia coli K-12 BW25113,BW25113_0001,0,0.0022182844,0.010914263,0.013902548,0.05427317,0.17916842,0.052095337080000005
C018,Escherichia coli K-12 BW25113,BW25113_0002,0,0.36548102,0.25867066,0.3984273,0.30304396,0.18098749,0.301322086
C018,Escherichia coli K-12 BW25113,BW25113_0003,0,0.012484532,0.006038194,0.020046884,0.05927424,0.0045060865,0.020469987300000003
C018,Escherichia coli K-12 BW25113,BW25113_0004,0,0.3473259,0.20672603,0.124681056,0.10231977,0.58508277,0.2732271052
C018,Escherichia coli K-12 BW25113,BW25113_0005,0,0.03290172,0.066945866,0.018912425,0.10440409,0.032962266,0.05122527340000001
C018,Escherichia coli K-12 BW25113,BW25113_0006,0,0.027655441,0.21734771,0.17640318,0.24278305,0.006662724,0.134170421
C018,Escherichia coli K-12 BW25113,BW25113_0007,0,0.02017212,0.018344281,0.016366115,0.004802279,0.0021900388,0.012374966760000002
C018,Escherichia coli K-12 BW25113,BW25113_0008,0,0.048478726,0.044183653,0.29909474,0.30271155,0.04149715,0.1471931638
C018,Escherichia coli K-12 BW25113,BW25113_0009,0,0.5879784,0.21483034,0.13593064,0.18125132,0.049403243,0.2338787886
C018,Escherichia coli K-12 BW25113,BW25113_0010,0,0.03303966,0.094818965,0.0016422652,0.08937505,0.35086933,0.11394905404
C018,Escherichia coli K-12 BW25113,BW25113_0011,0,0.005888389,0.29948342,0.061952513,0.06374784,0.14023486,0.11426140439999999
C018,Escherichia coli K-12 BW25113,BW25113_0013,0,0.012637229,0.016228804,0.012219005,0.014070108,0.12428298,0.0358876252
C018,Escherichia coli K-12 BW25113,BW25113_0014,0,0.7324549,0.91989297,0.9138407,0.9146691,0.9232539,0.8808223139999999
C018,Escherichia coli K-12 BW25113,BW25113_0015,0,0.68538654,0.88764316,0.7774868,0.6717101,0.5530747,0.7150602599999999
C018,Escherichia coli K-12 BW25113,BW25113_0016,0,0.02089342,0.0024387154,0.08594764,0.007981166,0.021428285,0.02773784528
C018,Escherichia coli K-12 BW25113,BW25113_0018,0,0.5177415,0.030360214,0.3526258,0.119035706,0.20005624,0.24396389200000002
C018,Escherichia coli K-12 BW25113,BW25113_0019,0,0.04192243,0.01684873,0.07542405,0.086042665,0.068704225,0.05778842000000001
C018,Escherichia coli K-12 BW25113,BW25113_0020,0,0.009236075,0.00835297,0.003154792,0.023512518,0.011060685,0.011063408
C018,Escherichia coli K-12 BW25113,BW25113_0021,0,0.312672,0.050974164,0.0013366318,0.17119507,0.062139325,0.11966343816
C018,Escherichia coli K-12 BW25113,BW25113_0022,0,0.009491203,0.0043219007,0.018918926,0.003494004,0.0039191195,0.00802903064
C018,Escherichia coli K-12 BW25113,BW25113_0023,0,0.8268571,0.95661396,0.82119036,0.94204104,0.9064384,0.8906281720000001
C018,Escherichia coli K-12 BW25113,BW25113_0024,0,0.37233585,0.57704043,0.489627,0.6328952,0.51800114,0.517979924
C018,Escherichia coli K-12 BW25113,BW25113_0025,1,0.77045745,0.9635487,0.97281396,0.87425685,0.98398685,0.9130127619999999
C018,Escherichia coli K-12 BW25113,BW25113_0026,0,0.93722624,0.9191267,0.9894944,0.9528929,0.9754304,0.9548341279999999
C018,Escherichia coli K-12 BW25113,BW25113_0027,1,0.9298551,0.9547095,0.9759856,0.9773791,0.961093,0.95980446
C018,Escherichia coli K-12 BW25113,BW25113_0028,0,0.12448243,0.20733507,0.4234285,0.5440116,0.20819296,0.30149011200000003
C018,Escherichia coli K-12 BW25113,BW25113_0029,1,0.9481441,0.9745524,0.9298931,0.98253953,0.9728905,0.9616039259999999
C018,Escherichia coli K-12 BW25113,BW25113_0030,0,0.016953604,0.008265087,0.0052081794,0.36975747,0.5282385,0.18568456808
C018,Escherichia coli K-12 BW25113,BW25113_0031,1,0.90049005,0.89192027,0.9316396,0.98344433,0.92445755,0.9263903599999999
C018,Escherichia coli K-12 BW25113,BW25113_0032,0,0.56787056,0.40237218,0.4789371,0.6023676,0.08583937,0.427477362
C018,Escherichia coli K-12 BW25113,BW25113_0033,0,0.6601023,0.54702014,0.7502769,0.8029081,0.74583805,0.701229098
C018,Escherichia coli K-12 BW25113,BW25113_0034,0,0.075912364,0.33452225,0.43023896,0.07538428,0.07998332,0.1992082348
C018,Escherichia coli K-12 BW25113,BW25113_0035,0,0.021361979,0.038641572,0.003131677,0.057380658,0.080467954,0.040196768
C018,Escherichia coli K-12 BW25113,BW25113_0036,0,0.00015547512,0.0930987,0.0013439282,0.0009054978,0.123231925,0.04374710522400001
C018,Escherichia coli K-12 BW25113,BW25113_0037,0,0.001215246,0.010777402,0.061345395,0.027755763,4.15332e-05,0.020227067839999998
C018,Escherichia coli K-12 BW25113,BW25113_0038,0,0.0025409926,0.013404567,0.0062634884,0.005630476,0.008657857,0.007299476199999999
C018,Escherichia coli K-12 BW25113,BW25113_0039,0,0.38235545,0.30815774,0.032487266,0.031225737,0.038714238,0.15858808619999998
C018,Escherichia coli K-12 BW25113,BW25113_0040,0,0.0064067435,0.09203208,0.064996995,0.15168224,0.15969723,0.09496305769999999
C018,Escherichia coli K-12 BW25113,BW25113_0041,0,0.049706396,0.27800706,0.05227141,0.010850505,0.530784,0.18432387420000002
